"dimension","focal_group","item","MH_statistic","p_value","p_adj","Psi_hat","Alpha_hat","SE_log_Psi","rho_spear","significant","noninvariant"
"I","Orthodox Europe","I7",0.293,0.5886,1,0.9821,-0.0181,0.0276,0.852,FALSE,"no"
"I","Orthodox Europe","I8",38.781,0,0,1.389,0.3286,0.0287,0.498,TRUE,"yes"
"I","Muslim Middle East","I1",0.532,0.4658,0.4658,0.9873,-0.0127,0.0192,0.546,FALSE,"no"
"I","Muslim Middle East","I2",46.267,0,0,0.7441,-0.2956,0.0167,0.634,TRUE,"yes"
"I","Muslim Middle East","I3",6.067,0.0138,0.0275,0.9189,-0.0845,0.0224,0.749,TRUE,"no"
"I","Muslim Middle East","I4",23.442,0,0,1.2826,0.2489,0.0255,0.577,TRUE,"yes"
"I","Muslim Middle East","I5",24.134,0,0,1.2803,0.2471,0.0334,0.781,TRUE,"yes"
"I","Muslim Middle East","I6",74.596,0,0,0.6615,-0.4133,0.0169,0.712,TRUE,"yes"
"I","Muslim Middle East","I7",8.212,0.0042,0.0125,1.1578,0.1465,0.0295,0.754,TRUE,"no"
"I","Muslim Middle East","I8",20.487,0,0,1.2311,0.2079,0.0274,0.563,TRUE,"no"
"A","Asia","A1",855.506,0,0,1.5967,0.4679,0.0149,0.715,TRUE,"yes"
"A","Asia","A2",1532.275,0,0,1.8611,0.6212,0.0183,0.775,TRUE,"yes"
"A","Asia","A3",69.325,0,0,0.8963,-0.1094,0.0078,0.661,TRUE,"no"
"A","Asia","A4",947.48,0,0,0.6285,-0.4644,0.0062,0.784,TRUE,"yes"
"A","Asia","A5",125.167,0,0,0.8576,-0.1536,0.0081,0.748,TRUE,"no"
"A","Asia","A6",30.152,0,0,1.1127,0.1068,0.0101,0.733,TRUE,"no"
"A","Asia","A7",512.675,0,0,0.7219,-0.3259,0.0061,0.52,TRUE,"yes"
"A","Asia","A8",5.597,0.018,0.018,0.9905,-0.0095,0.0093,0.766,TRUE,"no"
"A","Sub Saharan Africa","A1",25.844,0,0,1.3501,0.3002,0.0372,0.625,TRUE,"yes"
"A","Sub Saharan Africa","A2",61.803,0,0,1.5901,0.4638,0.0451,0.706,TRUE,"yes"
"A","Sub Saharan Africa","A3",6.496,0.0108,0.0108,1.1749,0.1612,0.0277,0.554,TRUE,"no"
"A","Sub Saharan Africa","A4",27.484,0,0,0.7693,-0.2623,0.0206,0.711,TRUE,"yes"
"A","Sub Saharan Africa","A5",35.474,0,0,0.7396,-0.3016,0.0196,0.662,TRUE,"yes"
"A","Sub Saharan Africa","A6",19.986,0,0,1.3164,0.2749,0.0367,0.643,TRUE,"yes"
"A","Sub Saharan Africa","A7",15.407,1e-04,2e-04,1.2416,0.2164,0.021,0.378,TRUE,"no"
"A","Sub Saharan Africa","A8",26.357,0,0,0.7804,-0.2479,0.021,0.686,TRUE,"yes"
"A","Catholic West","A1",6.269,0.0123,0.0491,0.9195,-0.0839,0.015,0.624,TRUE,"no"
"A","Catholic West","A2",194.184,0,0,1.6817,0.5198,0.0304,0.705,TRUE,"yes"
"A","Catholic West","A3",5.373,0.0204,0.0613,1.1064,0.1011,0.0164,0.554,TRUE,"no"
"A","Catholic West","A4",7.83,0.0051,0.0257,0.9045,-0.1004,0.015,0.711,TRUE,"no"
"A","Catholic West","A5",189.414,0,0,1.6961,0.5283,0.0289,0.662,TRUE,"yes"
"A","Catholic West","A6",2.701,0.1003,0.2006,0.9502,-0.0511,0.0158,0.642,FALSE,"no"
"A","Catholic West","A7",53.659,0,0,0.7711,-0.26,0.0098,0.375,TRUE,"yes"
"A","Catholic West","A8",0.801,0.3708,0.3708,0.9787,-0.0215,0.0163,0.685,FALSE,"no"
"A","Latin America","A1",2.737,0.098,0.2941,1.1234,0.1163,0.0247,0.626,FALSE,"no"
"A","Latin America","A2",48.218,0,0,1.4494,0.3711,0.0361,0.705,TRUE,"yes"
"A","Latin America","A3",2.709,0.0998,0.2941,0.95,-0.0513,0.0187,0.554,FALSE,"no"
"A","Latin America","A4",3.774,0.0521,0.2082,0.9257,-0.0772,0.021,0.711,FALSE,"no"
"A","Latin America","A5",20.284,0,0,1.2931,0.257,0.0308,0.662,TRUE,"yes"
"A","Latin America","A6",32.936,0,0,1.3474,0.2982,0.0317,0.643,TRUE,"yes"
"A","Latin America","A7",0.588,0.4433,0.4433,0.9737,-0.0266,0.0148,0.378,FALSE,"no"
"A","Latin America","A8",15.695,1e-04,4e-04,0.8438,-0.1699,0.0204,0.685,TRUE,"no"
"A","Orthodox Europe","A1",0.001,0.9772,1,1.005,0.005,0.0229,0.625,FALSE,"no"
"A","Orthodox Europe","A2",184.551,0,0,2.1063,0.7449,0.0557,0.706,TRUE,"yes"
"A","Orthodox Europe","A3",34.107,0,0,1.398,0.335,0.0285,0.555,TRUE,"yes"
"A","Orthodox Europe","A4",20.991,0,0,0.7833,-0.2443,0.0184,0.711,TRUE,"yes"
"A","Orthodox Europe","A5",40.04,0,0,1.4368,0.3624,0.0337,0.662,TRUE,"yes"
"A","Orthodox Europe","A6",0.55,0.4584,1,0.9681,-0.0324,0.0225,0.643,FALSE,"no"
"A","Orthodox Europe","A7",58.636,0,0,0.6736,-0.3951,0.0125,0.375,TRUE,"yes"
"A","Orthodox Europe","A8",0.003,0.9554,1,1.021,0.0208,0.0231,0.686,FALSE,"no"
"A","Muslim Middle East","A1",134.036,0,0,1.7728,0.5725,0.0391,0.627,TRUE,"yes"
"A","Muslim Middle East","A2",227.701,0,0,2.0831,0.7338,0.0546,0.706,TRUE,"yes"
"A","Muslim Middle East","A3",6.02,0.0141,0.0283,1.1423,0.133,0.0218,0.554,TRUE,"no"
"A","Muslim Middle East","A4",137.042,0,0,0.5899,-0.5278,0.0137,0.71,TRUE,"yes"
"A","Muslim Middle East","A5",1.807,0.1789,0.1789,0.9515,-0.0497,0.0224,0.661,FALSE,"no"
