"dimension","focal_group","item","MH_statistic","p_value","p_adj","Psi_hat","Alpha_hat","SE_log_Psi","rho_spear","significant","noninvariant"
"C","Orthodox Europe","C5",58.245,0,0,1.5006,0.4058,0.0371,0.641,TRUE,"yes"
"C","Orthodox Europe","C6",28.681,0,0,1.3093,0.2695,0.0308,0.614,TRUE,"yes"
"C","Orthodox Europe","C7",51.875,0,0,0.6582,-0.4183,0.0208,0.692,TRUE,"yes"
"C","Orthodox Europe","C8",3.141,0.0763,0.1527,1.1021,0.0972,0.0367,0.754,FALSE,"no"
"C","Muslim Middle East","C1",0.3,0.5836,0.5836,0.9881,-0.012,0.0286,0.866,FALSE,"no"
"C","Muslim Middle East","C2",8.266,0.004,0.0162,1.1739,0.1604,0.0258,0.561,TRUE,"no"
"C","Muslim Middle East","C3",123.361,0,0,1.7004,0.5309,0.0471,0.709,TRUE,"yes"
"C","Muslim Middle East","C4",2.976,0.0845,0.2241,1.1186,0.1121,0.0311,0.866,FALSE,"no"
"C","Muslim Middle East","C5",70.723,0,0,1.4797,0.3918,0.0322,0.555,TRUE,"yes"
"C","Muslim Middle East","C6",11.84,6e-04,0.0029,1.1794,0.165,0.0243,0.517,TRUE,"no"
"C","Muslim Middle East","C7",3.177,0.0747,0.2241,0.9224,-0.0808,0.0259,0.829,FALSE,"no"
"C","Muslim Middle East","C8",61.732,0,0,1.48,0.392,0.0413,0.717,TRUE,"yes"
