"","country","iso_code","human_development_index","year"
"154","Seychelles","SYC","0.848","2023"
"155","Sierra Leone","SLE","0.467","2023"
"156","Singapore","SGP","0.946","2023"
"157","Slovakia","SVK","0.880","2023"
"158","Slovenia","SVN","0.931","2023"
"159","Solomon Islands","SLB","0.584","2023"
"160","Somalia","SOM","0.404","2023"
"161","South Africa","ZAF","0.741","2023"
"162","South Korea","KOR","0.937","2023"
"163","South Sudan","SSD","0.388","2023"
"164","Spain","ESP","0.918","2023"
"165","Sri Lanka","LKA","0.776","2023"
"166","Sudan","SDN","0.511","2023"
"167","Suriname","SUR","0.722","2023"
"168","Sweden","SWE","0.959","2023"
"169","Switzerland","CHE","0.970","2023"
"170","Syria","SYR","0.564","2023"
"171","Tajikistan","TJK","0.691","2023"
"172","Tanzania","TZA","0.555","2023"
"173","Thailand","THA","0.798","2023"
"174","Togo","TGO","0.571","2023"
"175","Tonga","TON","0.769","2023"
"176","Trinidad and Tobago","TTO","0.807","2023"
"177","Tunisia","TUN","0.746","2023"
"178","Turkey","TUR","0.853","2023"
"179","Turkmenistan","TKM","0.764","2023"
"180","Tuvalu","TUV","0.689","2023"
"181","Uganda","UGA","0.582","2023"
"182","Ukraine","UKR","0.779","2023"
"183","United Arab Emirates","ARE","0.940","2023"
"184","United Kingdom","GBR","0.946","2023"
"185","United States","USA","0.938","2023"
"186","Uruguay","URY","0.862","2023"
"187","Uzbekistan","UZB","0.740","2023"
"188","Vanuatu","VUT","0.621","2023"
"189","Venezuela","VEN","0.709","2023"
"190","Vietnam","VNM","0.766","2023"
"191","Yemen","YEM","0.470","2023"
"192","Zambia","ZMB","0.595","2023"
"193","Zimbabwe","ZWE","0.598","2023"
