"","country","iso_code","income_group","income_group_label","year"
"194","Syria","SYR","low","Low income","2024"
"195","Taiwan","TWN","high","High income","2024"
"196","Tajikistan","TJK","lower_middle","Lower-middle income","2024"
"197","Tanzania","TZA","lower_middle","Lower-middle income","2024"
"198","Thailand","THA","upper_middle","Upper-middle income","2024"
"199","Togo","TGO","low","Low income","2024"
"200","Tonga","TON","upper_middle","Upper-middle income","2024"
"201","Trinidad and Tobago","TTO","high","High income","2024"
"202","Tunisia","TUN","lower_middle","Lower-middle income","2024"
"203","Turkey","TUR","upper_middle","Upper-middle income","2024"
"204","Turkmenistan","TKM","upper_middle","Upper-middle income","2024"
"205","Turks and Caicos Islands","TCA","high","High income","2024"
"206","Tuvalu","TUV","upper_middle","Upper-middle income","2024"
"207","Uganda","UGA","low","Low income","2024"
"208","Ukraine","UKR","upper_middle","Upper-middle income","2024"
"209","United Arab Emirates","ARE","high","High income","2024"
"210","United Kingdom","GBR","high","High income","2024"
"211","United States","USA","high","High income","2024"
"212","United States Virgin Islands","VIR","high","High income","2024"
"213","Uruguay","URY","high","High income","2024"
"214","Uzbekistan","UZB","lower_middle","Lower-middle income","2024"
"215","Vanuatu","VUT","lower_middle","Lower-middle income","2024"
"216","Venezuela","VEN","upper_middle","Upper-middle income","2019"
"217","Vietnam","VNM","lower_middle","Lower-middle income","2024"
"218","Yemen","YEM","low","Low income","2024"
"219","Zambia","ZMB","lower_middle","Lower-middle income","2024"
"220","Zimbabwe","ZWE","lower_middle","Lower-middle income","2024"
